Altium Designer Pick and Place Locations
C:\Users\PC\Desktop\Sourcetree\uz_d_resolver\Project Outputs for UZ_D_Resolver\Pick Place\PickPlace_UZ_D_Resolver_Rev01.txt

========================================================================================================================
File Design Information:

Date:       24.01.23
Time:       22:04
Revision:   59c402cdfa516c1af57227cd6c821706280e95a8
Variant:    No variations
Units used: mm

Designator Footprint                    Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                      
" "        SERIAL_6.3X6.3MM             -46.2209     -26.3528     91.5000   92.8000   -46.2209  -26.3528  180      BottomLayer "Serialnumber 6.3 x 6.3 mm"  
" "        UZ_Logo_small                -46.2209     -26.3528     127.5000  86.1000   -46.2209  -26.3528  180      BottomLayer "UZ Logo"                    
R23C       RESC1608X06N                 1.7000       34.1000      1.7000    34.1000   1.7000    33.3250   90       TopLayer    1.3k                         
R23B       RESC1608X06N                 1.7000       46.0000      1.7000    46.0000   1.7000    45.2250   90       TopLayer    1.3k                         
R23A       RESC1608X06N                 1.8000       57.8000      1.8000    57.8000   1.8000    57.0250   90       TopLayer    1.3k                         
R22C       RESC1608X06N                 1.7000       39.9000      1.7000    39.9000   1.7000    39.1250   90       TopLayer    3.01k                        
R22B       RESC1608X06N                 1.7000       52.0000      1.7000    52.0000   1.7000    51.2250   90       TopLayer    3.01k                        
R22A       RESC1608X06N                 2.1000       64.1000      2.1000    64.1000   2.1000    63.3250   90       TopLayer    3.01k                        
F3C        1812_PTC_Polyfuse_Littelfuse -3.0000      34.1000      -3.0000   34.1000   -5.3900   34.1000   0        TopLayer    Littelfuse_PTC_1812          
F3B        1812_PTC_Polyfuse_Littelfuse -3.0000      46.2000      -3.0000   46.2000   -5.3900   46.2000   0        TopLayer    Littelfuse_PTC_1812          
F3A        1812_PTC_Polyfuse_Littelfuse -2.9000      58.1000      -2.9000   58.1000   -5.2900   58.1000   0        TopLayer    Littelfuse_PTC_1812          
F2C        1812_PTC_Polyfuse_Littelfuse -3.0000      40.2000      -3.0000   40.2000   -5.3900   40.2000   0        TopLayer    Littelfuse_PTC_1812          
F2B        1812_PTC_Polyfuse_Littelfuse -3.0000      52.1000      -3.0000   52.1000   -5.3900   52.1000   0        TopLayer    Littelfuse_PTC_1812          
F2A        1812_PTC_Polyfuse_Littelfuse -2.9000      64.1000      -2.9000   64.1000   -5.2900   64.1000   0        TopLayer    Littelfuse_PTC_1812          
D3C        WL-SMCW_0603                 3.7000       34.2000      3.7000    34.2000   3.7000    35.0000   270      TopLayer    150060GS84000                
D3B        WL-SMCW_0603                 3.7000       46.1000      3.7000    46.1000   3.7000    46.9000   270      TopLayer    150060GS84000                
D3A        WL-SMCW_0603                 3.7000       57.8000      3.7000    57.8000   3.7000    58.6000   270      TopLayer    150060GS84000                
D2C        WL-SMCW_0603                 3.6000       40.1000      3.6000    40.1000   3.6000    40.9000   270      TopLayer    150060RS86000                
D2B        WL-SMCW_0603                 3.6000       52.1000      3.6000    52.1000   3.6000    52.9000   270      TopLayer    150060RS86000                
D2A        WL-SMCW_0603                 3.9000       64.1000      3.9000    64.1000   3.9000    64.9000   270      TopLayer    150060RS86000                
X2         HDR2X6                       6.4300       13.3300      7.7000    6.9800    7.7000    6.9800    90       TopLayer    "Header 6X2"                 
X1         HSEC8-150-01-XX-DV-A-BL-CARD -12.4000     50.0000      -14.8000  50.0000   -12.4000  71.2000   270      BottomLayer HSEC8-150-01-XX-DV-A-BL-CARD 
R6         RES_0603_1608                23.6000      27.5000      23.6000   27.5000   24.2500   27.5000   180      TopLayer    0R                           
R5         RES_0603_1608                23.8000      60.5000      23.8000   60.5000   24.4500   60.5000   180      TopLayer    0R                           
R4         RES_0603_1608                24.1000      93.5000      24.1000   93.5000   24.7500   93.5000   180      TopLayer    0R                           
D1         WL-SMCW_0603                 3.6000       70.1000      3.6000    70.1000   3.6000    70.9000   270      TopLayer    150060BS84000                
J1C        DSUB1.385-2H9                131.6000     17.9000      141.1000  17.9000   130.1800  23.4400   270      TopLayer    DSUB1.385-2H9                
J1B        DSUB1.385-2H9                131.6000     50.0000      141.1000  50.0000   130.1800  55.5400   270      TopLayer    DSUB1.385-2H9                
J1A        DSUB1.385-2H9                131.6000     82.1000      141.1000  82.1000   130.1800  87.6400   270      TopLayer    DSUB1.385-2H9                
XT1C       CRYSTALOSC                   18.1200      12.6400      20.5200   15.0600   16.0200   15.1800   270      TopLayer    ECS-80-18-30B-AGN-TR         
XT1B       CRYSTALOSC                   18.1200      45.6400      20.5200   48.0600   16.0200   48.1800   270      TopLayer    ECS-80-18-30B-AGN-TR         
XT1A       CRYSTALOSC                   18.1200      78.6400      20.5200   81.0600   16.0200   81.1800   270      TopLayer    ECS-80-18-30B-AGN-TR         
U4C        SOIC-14                      65.4000      25.6000      65.4000   25.6000   69.2100   28.0000   270      TopLayer    LT1639HS#PBF                 
U4B        SOIC-14                      65.4000      58.6000      65.4000   58.6000   69.2100   61.0000   270      TopLayer    LT1639HS#PBF                 
U4A        SOIC-14                      65.4000      91.6000      65.4000   91.6000   69.2100   94.0000   270      TopLayer    LT1639HS#PBF                 
U3C        SOIC8_N                      84.0000      13.0000      84.0000   13.0000   82.0950   10.6000   270      TopLayer    AD8662ARZ                    
U3B        SOIC8_N                      84.0000      46.0000      84.0000   46.0000   82.0950   43.6000   270      TopLayer    AD8662ARZ                    
U3A        SOIC8_N                      84.0000      79.0000      84.0000   79.0000   82.0950   76.6000   270      TopLayer    AD8662ARZ                    
U2C        DC/DC_24V-->12V_1W_Aislado   61.1000      10.0000      61.1000   10.0000   57.2900   4.9500    0        TopLayer    PDS1-S24-S12-M-TR            
