Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_d_resolver\Project Outputs for UZ_D_Resolver\Rev01\Pick Place\Pick Place for UltraZohm_Digital_Resolver(Default).csv

========================================================================================================================
File Design Information:

Date:       02.02.23
Time:       08:06
Revision:   e89da8b1c5c9b989e3238a41a255558957b039c9
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3C","1812_PTC_Polyfuse_Littelfuse","-3.0000","-3.0000","34.1000","34.1000","-5.3900","34.1000","0","Littelfuse_PTC_1812","TopLayer"
"F3B","1812_PTC_Polyfuse_Littelfuse","-3.0000","-3.0000","46.2000","46.2000","-5.3900","46.2000","0","Littelfuse_PTC_1812","TopLayer"
"F3A","1812_PTC_Polyfuse_Littelfuse","-2.9000","-2.9000","58.1000","58.1000","-5.2900","58.1000","0","Littelfuse_PTC_1812","TopLayer"
"F2C","1812_PTC_Polyfuse_Littelfuse","-3.0000","-3.0000","40.2000","40.2000","-5.3900","40.2000","0","Littelfuse_PTC_1812","TopLayer"
"F2B","1812_PTC_Polyfuse_Littelfuse","-3.0000","-3.0000","52.1000","52.1000","-5.3900","52.1000","0","Littelfuse_PTC_1812","TopLayer"
"F2A","1812_PTC_Polyfuse_Littelfuse","-2.9000","-2.9000","64.1000","64.1000","-5.2900","64.1000","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","-2.8000","-2.8000","70.2000","70.2000","-5.1900","70.2000","0","Littelfuse_PTC_1812","TopLayer"
"C4C","C_0603","38.3000","38.3000","26.8000","26.8000","38.3000","26.1000","90","100 nF","TopLayer"
"C4B","C_0603","38.3000","38.3000","59.8000","59.8000","38.3000","59.1000","90","100 nF","TopLayer"
"C4A","C_0603","38.3000","38.3000","92.8000","92.8000","38.3000","92.1000","90","100 nF","TopLayer"
"C29C","C_0603","69.6000","69.6000","8.4000","8.4000","70.3000","8.4000","180","100 nF","TopLayer"
"C29B","C_0603","69.6000","69.6000","41.4000","41.4000","70.3000","41.4000","180","100 nF","TopLayer"
"C29A","C_0603","69.6000","69.6000","74.4000","74.4000","70.3000","74.4000","180","100 nF","TopLayer"
"C28C","C_0603","83.9250","83.9250","29.1000","29.1000","84.6250","29.1000","180","1 nF","TopLayer"
"C28B","C_0603","83.9250","83.9250","62.1000","62.1000","84.6250","62.1000","180","1 nF","TopLayer"
"C28A","C_0603","83.9250","83.9250","95.1000","95.1000","84.6250","95.1000","180","1 nF","TopLayer"
"C27C","C_0603","71.8750","71.8750","29.2000","29.2000","71.1750","29.2000","0","1 nF","TopLayer"
"C27B","C_0603","71.8750","71.8750","62.2000","62.2000","71.1750","62.2000","0","1 nF","TopLayer"
"C27A","C_0603","71.8750","71.8750","95.2000","95.2000","71.1750","95.2000","0","1 nF","TopLayer"
"C26C","C_0603","71.8750","71.8750","25.7000","25.7000","71.1750","25.7000","0","1 nF","TopLayer"
"C26B","C_0603","71.8750","71.8750","58.7000","58.7000","71.1750","58.7000","0","1 nF","TopLayer"
"C26A","C_0603","71.8750","71.8750","91.7000","91.7000","71.1750","91.7000","0","1 nF","TopLayer"
"C25C","C_0603","83.9250","83.9250","25.7000","25.7000","84.6250","25.7000","180","1 nF","TopLayer"
"C25B","C_0603","83.9250","83.9250","58.7000","58.7000","84.6250","58.7000","180","1 nF","TopLayer"
"C25A","C_0603","83.9250","83.9250","91.7000","91.7000","84.6250","91.7000","180","1 nF","TopLayer"
"C24C","C_0603","78.8000","78.8000","22.6000","22.6000","78.1000","22.6000","0","100 nF","TopLayer"
"C24B","C_0603","78.8000","78.8000","55.6000","55.6000","78.1000","55.6000","0","100 nF","TopLayer"
"C24A","C_0603","78.8000","78.8000","88.6000","88.6000","78.1000","88.6000","0","100 nF","TopLayer"
"C23C","C_0603","93.7000","93.7000","27.8667","27.8667","94.4000","27.8667","180","1 nF","TopLayer"
"C23B","C_0603","93.7000","93.7000","60.8667","60.8667","94.4000","60.8667","180","1 nF","TopLayer"
"C23A","C_0603","93.7000","93.7000","93.8667","93.8667","94.4000","93.8667","180","1 nF","TopLayer"
"C22C","C_0603","93.7000","93.7000","30.6000","30.6000","94.4000","30.6000","180","1 nF","TopLayer"
"C22B","C_0603","93.7000","93.7000","63.6000","63.6000","94.4000","63.6000","180","1 nF","TopLayer"
"C22A","C_0603","93.7000","93.7000","96.6000","96.6000","94.4000","96.6000","180","1 nF","TopLayer"
"C21C","C_0603","93.7000","93.7000","22.4000","22.4000","94.4000","22.4000","180","1 nF","TopLayer"
"C21B","C_0603","93.7000","93.7000","55.4000","55.4000","94.4000","55.4000","180","1 nF","TopLayer"
"C21A","C_0603","93.7000","93.7000","88.4000","88.4000","94.4000","88.4000","180","1 nF","TopLayer"
"C20C","C_0603","93.7000","93.7000","25.1333","25.1333","94.4000","25.1333","180","1 nF","TopLayer"
"C20B","C_0603","93.7000","93.7000","58.1333","58.1333","94.4000","58.1333","180","1 nF","TopLayer"
"C20A","C_0603","93.7000","93.7000","91.1333","91.1333","94.4000","91.1333","180","1 nF","TopLayer"
"C19C","C_0603","110.6250","110.6250","28.6000","28.6000","111.3250","28.6000","180","100 pF","TopLayer"
"C19B","C_0603","110.6250","110.6250","61.6000","61.6000","111.3250","61.6000","180","100 pF","TopLayer"
"C19A","C_0603","110.6250","110.6250","94.6000","94.6000","111.3250","94.6000","180","100 pF","TopLayer"
"C18C","C_0603","110.6250","110.6250","31.3000","31.3000","111.3250","31.3000","180","100 pF","TopLayer"
"C18B","C_0603","110.6250","110.6250","64.3000","64.3000","111.3250","64.3000","180","100 pF","TopLayer"
"C18A","C_0603","110.6250","110.6250","97.3000","97.3000","111.3250","97.3000","180","100 pF","TopLayer"
"C17C","C_0603","110.6250","110.6250","23.2000","23.2000","111.3250","23.2000","180","100 pF","TopLayer"
"C17B","C_0603","110.6250","110.6250","56.2000","56.2000","111.3250","56.2000","180","100 pF","TopLayer"
"C17A","C_0603","110.6250","110.6250","89.2000","89.2000","111.3250","89.2000","180","100 pF","TopLayer"
"C16C","C_0603","110.6250","110.6250","25.9000","25.9000","111.3250","25.9000","180","100 pF","TopLayer"
"C16B","C_0603","110.6250","110.6250","58.9000","58.9000","111.3250","58.9000","180","100 pF","TopLayer"
"C16A","C_0603","110.6250","110.6250","91.9000","91.9000","111.3250","91.9000","180","100 pF","TopLayer"
"C14C","C_0603","82.6000","82.6000","14.1000","14.1000","83.3000","14.1000","180","100 pF","TopLayer"
"C14B","C_0603","82.6000","82.6000","47.1000","47.1000","83.3000","47.1000","180","100 pF","TopLayer"
"C14A","C_0603","82.6000","82.6000","80.1000","80.1000","83.3000","80.1000","180","100 pF","TopLayer"
"C15C","C_0603","85.4000","85.4000","16.2000","16.2000","85.4000","15.5000","90","100 pF","TopLayer"
"C15B","C_0603","85.4000","85.4000","49.2000","49.2000","85.4000","48.5000","90","100 pF","TopLayer"
"C15A","C_0603","85.4000","85.4000","82.2000","82.2000","85.4000","81.5000","90","100 pF","TopLayer"
"C12C","C_0603","85.0000","85.0000","12.8250","12.8250","85.0000","13.5250","270","100 nF","TopLayer"
"C12B","C_0603","85.0000","85.0000","45.8250","45.8250","85.0000","46.5250","270","100 nF","TopLayer"
"C12A","C_0603","85.0000","85.0000","78.8250","78.8250","85.0000","79.5250","270","100 nF","TopLayer"
"C8C","C_0603","31.7000","31.7000","14.6000","14.6000","31.7000","13.9000","90","4.7 µF","TopLayer"
"C8B","C_0603","31.7000","31.7000","47.6000","47.6000","31.7000","46.9000","90","4.7 µF","TopLayer"
"C8A","C_0603","31.7000","31.7000","80.6000","80.6000","31.7000","79.9000","90","4.7 µF","TopLayer"
"C9C","C_0603","44.7000","44.7000","13.9000","13.9000","44.7000","14.6000","270","4.7 µF","TopLayer"
"C9B","C_0603","44.7000","44.7000","46.9000","46.9000","44.7000","47.6000","270","4.7 µF","TopLayer"
"C9A","C_0603","44.7000","44.7000","79.9000","79.9000","44.7000","80.6000","270","4.7 µF","TopLayer"
"C10C","C_0603","43.4000","43.4000","13.9000","13.9000","43.4000","14.6000","270","10 nF","TopLayer"
"C10B","C_0603","43.4000","43.4000","46.9000","46.9000","43.4000","47.6000","270","10 nF","TopLayer"
"C10A","C_0603","43.4000","43.4000","79.9000","79.9000","43.4000","80.6000","270","10 nF","TopLayer"
"C7C","C_0603","30.3000","30.3000","14.6000","14.6000","30.3000","13.9000","90","10 nF","TopLayer"
"C7B","C_0603","30.3000","30.3000","47.6000","47.6000","30.3000","46.9000","90","10 nF","TopLayer"
"C7A","C_0603","30.3000","30.3000","80.6000","80.6000","30.3000","79.9000","90","10 nF","TopLayer"
"C5C","C_0603","44.2750","44.2750","16.6000","16.6000","43.5750","16.6000","0","10 nF","TopLayer"
"C5B","C_0603","44.2750","44.2750","49.6000","49.6000","43.5750","49.6000","0","10 nF","TopLayer"
"C5A","C_0603","44.2750","44.2750","82.6000","82.6000","43.5750","82.6000","0","10 nF","TopLayer"
"C6C","C_0603","44.2750","44.2750","17.8000","17.8000","44.9750","17.8000","180","4.7 µF","TopLayer"
"C6B","C_0603","44.2750","44.2750","50.8000","50.8000","44.9750","50.8000","180","4.7 µF","TopLayer"
"C6A","C_0603","44.2750","44.2750","83.8000","83.8000","44.9750","83.8000","180","4.7 µF","TopLayer"
"C2C","C_0603","38.8000","38.8000","20.7000","20.7000","39.5000","20.7000","180","10 nF","TopLayer"
"C2B","C_0603","38.8000","38.8000","53.7000","53.7000","39.5000","53.7000","180","10 nF","TopLayer"
"C2A","C_0603","38.8000","38.8000","86.7000","86.7000","39.5000","86.7000","180","10 nF","TopLayer"
"C1C","C_0603","38.8000","38.8000","21.8000","21.8000","39.5000","21.8000","180","4.7 µF","TopLayer"
"C1B","C_0603","38.8000","38.8000","54.8000","54.8000","39.5000","54.8000","180","4.7 µF","TopLayer"
"C1A","C_0603","38.8000","38.8000","87.8000","87.8000","39.5000","87.8000","180","4.7 µF","TopLayer"
"U2C","DC/DC_24V-->12V_1W_Aislado","61.1000","61.1000","10.0000","10.0000","57.2900","4.9500","0","PDS1-S24-S12-M-TR","TopLayer"
"U2B","DC/DC_24V-->12V_1W_Aislado","61.1000","61.1000","43.0000","43.0000","57.2900","37.9500","0","PDS1-S24-S12-M-TR","TopLayer"
"U2A","DC/DC_24V-->12V_1W_Aislado","61.1000","61.1000","76.0000","76.0000","57.2900","70.9500","0","PDS1-S24-S12-M-TR","TopLayer"
"J2C","DSUB1.385-2H9","141.1000","131.6000","17.9000","17.9000","130.1800","23.4400","270","DSUB1.385-2H9","TopLayer"
"J2B","DSUB1.385-2H9","141.1000","131.6000","50.0000","50.0000","130.1800","55.5400","270","DSUB1.385-2H9","TopLayer"
"J2A","DSUB1.385-2H9","141.1000","131.6000","82.1000","82.1000","130.1800","87.6400","270","DSUB1.385-2H9","TopLayer"
"L1C","INDC2012X92N_V","48.5000","48.5000","13.5000","13.5000","47.6000","13.5000","90","UPZ2012E601-2R0TF","TopLayer"
"L1B","INDC2012X92N_V","48.5000","48.5000","46.5000","46.5000","47.6000","46.5000","90","UPZ2012E601-2R0TF","TopLayer"
"L1A","INDC2012X92N_V","48.5000","48.5000","79.5000","79.5000","47.6000","79.5000","90","UPZ2012E601-2R0TF","TopLayer"
"L2C","INDC2012X92N_V","23.2400","23.2400","24.5400","24.5400","24.1400","24.5400","270","UPZ2012E601-2R0TF","TopLayer"
"L2B","INDC2012X92N_V","23.2400","23.2400","57.6200","57.6200","24.1400","57.6200","270","UPZ2012E601-2R0TF","TopLayer"
"L2A","INDC2012X92N_V","23.2400","23.2400","90.7000","90.7000","24.1400","90.7000","270","UPZ2012E601-2R0TF","TopLayer"
"U1A","LQFP-48_L","37.6000","37.6000","80.6000","80.6000","40.3500","84.7250","270","AD2S1210","TopLayer"
"U1C","LQFP-48_L","37.6000","37.6000","14.6000","14.6000","40.3500","18.7250","270","AD2S1210","TopLayer"
"U1B","LQFP-48_L","37.6000","37.6000","47.6000","47.6000","40.3500","51.7250","270","AD2S1210","TopLayer"
"Y1C","OSCCC320X250X120N","36.0500","36.0500","26.2000","26.2000","35.1000","27.4000","270","SG-8018CE 8.1920M","TopLayer"
"Y1B","OSCCC320X250X120N","36.0500","36.0500","59.2000","59.2000","35.1000","60.4000","270","SG-8018CE 8.1920M","TopLayer"
