Net Status Report
Filename     : C:\Users\PC\Desktop\Sourcetree\uz_d_resolver\Resolver.PcbDoc
Date         : 22.12.2022
Time         : 16:56:21
Time Elapsed : 00:00:00

Nets, Layer, Length
    +12V, Signal Layers Only, 0mm
    +5V_Resolver, Signal Layers Only, 0mm
    3V3_PER, Signal Layers Only, 0mm
    3V3_PER_fused, Signal Layers Only, 0mm
    5V_PER, Signal Layers Only, 0mm
    5V_PER_fused, Signal Layers Only, 0mm
    AGND_RESOLVER, Signal Layers Only, 0mm
    CLK_INA, Signal Layers Only, 0mm
    CLK_INB, Signal Layers Only, 0mm
    CLK_INC, Signal Layers Only, 0mm
    CLK_OUTA, Signal Layers Only, 0mm
    CLK_OUTB, Signal Layers Only, 0mm
    CLK_OUTC, Signal Layers Only, 0mm
    COSA, Signal Layers Only, 0mm
    COSB, Signal Layers Only, 0mm
    COSC, Signal Layers Only, 0mm
    COS_LOA, Signal Layers Only, 0mm
    COS_LOB, Signal Layers Only, 0mm
    COS_LOC, Signal Layers Only, 0mm
    DIG_IO_00, Signal Layers Only, 0mm
    DIG_IO_01, Signal Layers Only, 0mm
    DIG_IO_02, Signal Layers Only, 0mm
    DIG_IO_03, Signal Layers Only, 0mm
    DIG_IO_05, Signal Layers Only, 0mm
    DIG_IO_06, Signal Layers Only, 0mm
    DIG_IO_08, Signal Layers Only, 0mm
    DIG_IO_09, Signal Layers Only, 0mm
    DIG_IO_10, Signal Layers Only, 0mm
    DIG_IO_11, Signal Layers Only, 0mm
    DIG_IO_12, Signal Layers Only, 0mm
    DIG_IO_14, Signal Layers Only, 0mm
    DIG_IO_15, Signal Layers Only, 0mm
    DIG_IO_17, Signal Layers Only, 0mm
    DIG_IO_18, Signal Layers Only, 0mm
    DIG_IO_19, Signal Layers Only, 0mm
    DIG_IO_20, Signal Layers Only, 0mm
    DIG_IO_21, Signal Layers Only, 0mm
    DIG_IO_23, Signal Layers Only, 0mm
    DIG_IO_24, Signal Layers Only, 0mm
    DIG_IO_26, Signal Layers Only, 0mm
    DIG_IO_27, Signal Layers Only, 0mm
    DIG_IO_28, Signal Layers Only, 0mm
    DIG_IO_29, Signal Layers Only, 0mm
    EXCA, Signal Layers Only, 0mm
    EXCB, Signal Layers Only, 0mm
    EXCC, Signal Layers Only, 0mm
    GND, Signal Layers Only, 0mm
    N_EXCA, Signal Layers Only, 0mm
    N_EXCB, Signal Layers Only, 0mm
    N_EXCC, Signal Layers Only, 0mm
    NetC14A_1, Signal Layers Only, 0mm
    NetC14A_2, Signal Layers Only, 0mm
    NetC14B_1, Signal Layers Only, 0mm
    NetC14B_2, Signal Layers Only, 0mm
    NetC14C_1, Signal Layers Only, 0mm
    NetC14C_2, Signal Layers Only, 0mm
    NetC15A_1, Signal Layers Only, 0mm
    NetC15A_2, Signal Layers Only, 0mm
    NetC15B_1, Signal Layers Only, 0mm
    NetC15B_2, Signal Layers Only, 0mm
    NetC15C_1, Signal Layers Only, 0mm
    NetC15C_2, Signal Layers Only, 0mm
    NetC16A_1, Signal Layers Only, 0mm
    NetC16B_1, Signal Layers Only, 0mm
    NetC16C_1, Signal Layers Only, 0mm
    NetC17A_1, Signal Layers Only, 0mm
    NetC17B_1, Signal Layers Only, 0mm
    NetC17C_1, Signal Layers Only, 0mm
    NetC18A_1, Signal Layers Only, 0mm
    NetC18B_1, Signal Layers Only, 0mm
    NetC18C_1, Signal Layers Only, 0mm
    NetC19A_1, Signal Layers Only, 0mm
    NetC19B_1, Signal Layers Only, 0mm
    NetC19C_1, Signal Layers Only, 0mm
    NetC20A_1, Signal Layers Only, 0mm
    NetC20B_1, Signal Layers Only, 0mm
    NetC20C_1, Signal Layers Only, 0mm
    NetC21A_1, Signal Layers Only, 0mm
    NetC21B_1, Signal Layers Only, 0mm
    NetC21C_1, Signal Layers Only, 0mm
    NetC22A_1, Signal Layers Only, 0mm
    NetC22B_1, Signal Layers Only, 0mm
    NetC22C_1, Signal Layers Only, 0mm
    NetC23A_1, Signal Layers Only, 0mm
    NetC23B_1, Signal Layers Only, 0mm
    NetC23C_1, Signal Layers Only, 0mm
    NetC5A_2, Signal Layers Only, 0mm
    NetC5B_2, Signal Layers Only, 0mm
    NetC5C_2, Signal Layers Only, 0mm
    NetD1A_1, Signal Layers Only, 0mm
    NetD1A_2, Signal Layers Only, 0mm
    NetD1A_3, Signal Layers Only, 0mm
    NetD1B_1, Signal Layers Only, 0mm
    NetD1B_2, Signal Layers Only, 0mm
    NetD1B_3, Signal Layers Only, 0mm
    NetD1C_1, Signal Layers Only, 0mm
    NetD1C_2, Signal Layers Only, 0mm
    NetD1C_3, Signal Layers Only, 0mm
    NetD2A_1, Signal Layers Only, 0mm
    NetD2A_2, Signal Layers Only, 0mm
    NetD2A_3, Signal Layers Only, 0mm
    NetD2B_1, Signal Layers Only, 0mm
    NetD2B_2, Signal Layers Only, 0mm
    NetD2B_3, Signal Layers Only, 0mm
    NetD2C_1, Signal Layers Only, 0mm
    NetD2C_2, Signal Layers Only, 0mm
    NetD2C_3, Signal Layers Only, 0mm
    NetLED1_2, Signal Layers Only, 0mm
    NetLED2_2, Signal Layers Only, 0mm
    NetLED3_2, Signal Layers Only, 0mm
    NetQ1A_1, Signal Layers Only, 0mm
    NetQ1A_2, Signal Layers Only, 0mm
    NetQ1B_1, Signal Layers Only, 0mm
    NetQ1B_2, Signal Layers Only, 0mm
    NetQ1C_1, Signal Layers Only, 0mm
    NetQ1C_2, Signal Layers Only, 0mm
    NetQ2A_1, Signal Layers Only, 0mm
    NetQ2A_2, Signal Layers Only, 0mm
    NetQ2B_1, Signal Layers Only, 0mm
    NetQ2B_2, Signal Layers Only, 0mm
    NetQ2C_1, Signal Layers Only, 0mm
    NetQ2C_2, Signal Layers Only, 0mm
    NetQ3A_1, Signal Layers Only, 0mm
    NetQ3A_2, Signal Layers Only, 0mm
    NetQ3B_1, Signal Layers Only, 0mm
    NetQ3B_2, Signal Layers Only, 0mm
    NetQ3C_1, Signal Layers Only, 0mm
    NetQ3C_2, Signal Layers Only, 0mm
    NetQ4A_1, Signal Layers Only, 0mm
    NetQ4A_2, Signal Layers Only, 0mm
    NetQ4B_1, Signal Layers Only, 0mm
    NetQ4B_2, Signal Layers Only, 0mm
    NetQ4C_1, Signal Layers Only, 0mm
    NetQ4C_2, Signal Layers Only, 0mm
    NetR10A_1, Signal Layers Only, 0mm
    NetR10B_1, Signal Layers Only, 0mm
    NetR10C_1, Signal Layers Only, 0mm
    NetR14A_2, Signal Layers Only, 0mm
    NetR14B_2, Signal Layers Only, 0mm
    NetR14C_2, Signal Layers Only, 0mm
    NetR43A_1, Signal Layers Only, 0mm
    NetR43B_1, Signal Layers Only, 0mm
    NetR43C_1, Signal Layers Only, 0mm
    NetR44A_1, Signal Layers Only, 0mm
    NetR44B_1, Signal Layers Only, 0mm
    NetR44C_1, Signal Layers Only, 0mm
    NetR45A_1, Signal Layers Only, 0mm
    NetR45B_1, Signal Layers Only, 0mm
    NetR45C_1, Signal Layers Only, 0mm
    NetR46A_1, Signal Layers Only, 0mm
    NetR46B_1, Signal Layers Only, 0mm
